ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,RegDt,Send,msgId
00,D88039EC48E0,000E,15,25,0A,01,0A,09,1066533632,33,0378,2021-08-24 23:10:30,R,316032776
00,D88039EC48E0,000E,15,26,0A,01,0A,09,1066533632,33,0378,2021-08-24 23:20:31,R,316039091
00,D88039EC48E0,000E,15,27,0A,01,0A,09,1066533632,33,0378,2021-08-24 23:30:32,R,316045317
00,D88039EC48E0,000E,15,28,0A,01,0A,09,1066533632,33,0378,2021-08-24 23:40:33,R,316051529
00,D88039EC48E0,000E,15,29,0A,01,0A,09,1066533632,33,0378,2021-08-24 23:50:34,R,316057756
00,D88039EC48E0,000E,15,2A,0A,01,0A,09,1066533632,33,0378,2021-08-25 00:00:34,R,316064034
00,D88039EC48E0,000E,15,2B,0A,01,0A,09,1066533632,33,0378,2021-08-25 00:10:35,R,316070201
00,D88039EC48E0,000E,15,2C,0A,01,0A,09,1066533632,33,0378,2021-08-25 00:20:36,R,316076409
00,D88039EC48E0,000E,15,2D,0A,01,0A,09,1066533632,33,0378,2021-08-25 00:30:37,R,316082598
00,D88039EC48E0,000E,15,2E,0A,01,0A,09,1066533632,33,0378,2021-08-25 00:40:38,R,316088711
00,D88039EC48E0,000E,15,2F,0A,01,0A,09,1066533632,33,0378,2021-08-25 00:50:39,R,316094794
00,D88039EC48E0,000E,15,30,0A,01,0A,09,1066533632,33,0378,2021-08-25 01:00:40,R,316100863
00,D88039EC48E0,000E,15,31,0A,01,0A,09,1066533632,33,0378,2021-08-25 01:10:40,R,316107080
00,D88039EC48E0,000E,15,32,0A,01,0A,09,1066533632,33,0378,2021-08-25 01:20:41,R,316113159
00,D88039EC48E0,000E,15,33,0A,01,0A,09,1066533632,33,0378,2021-08-25 01:30:42,R,316119207
00,D88039EC48E0,000E,15,34,0A,01,0A,09,1066533632,33,0378,2021-08-25 01:40:43,R,316125189
00,D88039EC48E0,000E,15,35,0A,01,0A,09,1066533632,33,0378,2021-08-25 01:50:44,R,316131121
00,D88039EC48E0,000E,15,36,0A,01,0A,09,1066533632,33,0378,2021-08-25 02:00:44,R,316137063
00,D88039EC48E0,000E,15,37,0A,01,0A,09,1066533632,33,0378,2021-08-25 02:10:45,R,316143079
00,D88039EC48E0,000E,15,38,0A,01,0A,09,1066533632,33,0378,2021-08-25 02:20:46,R,316149010
00,D88039EC48E0,000E,15,39,0A,01,0A,09,1066533632,33,0378,2021-08-25 02:30:47,R,316155030
00,D88039EC48E0,000E,15,3A,0A,01,0A,09,1066533632,33,0378,2021-08-25 02:40:48,R,316160982
00,D88039EC48E0,000E,15,3B,0A,01,0A,09,1066533632,33,0378,2021-08-25 02:50:48,R,316166895
00,D88039EC48E0,000E,15,3C,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:00:49,R,316172919
00,D88039EC48E0,000E,15,3D,0A,01,05,09,1066533632,33,0378,2021-08-25 03:02:14,R,316173794
00,D88039EC48E0,000E,15,3E,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:02:18,R,316173837
00,D88039EC48E0,000E,15,3F,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:12:18,R,316179829
00,D88039EC48E0,000E,15,40,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:22:19,R,316185658
00,D88039EC48E0,000E,15,41,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:32:20,R,316191539
00,D88039EC48E0,000E,15,42,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:42:21,R,316197387
00,D88039EC48E0,000E,15,43,0A,01,0A,09,1066533632,33,0378,2021-08-25 03:52:22,R,316203224
00,D88039EC48E0,000E,15,44,0A,01,0A,09,1066533632,33,0378,2021-08-25 04:02:22,R,316209010
00,D88039EC48E0,000E,15,45,0A,01,0A,09,1066533632,33,0378,2021-08-25 04:12:23,R,316214798
00,D88039EC48E0,000E,15,46,0A,01,0A,09,1066533632,33,0378,2021-08-25 04:22:24,R,316220580
00,D88039EC48E0,000E,15,47,0A,01,0A,09,1066533632,33,0378,2021-08-25 04:32:25,R,316226351
00,D88039EC48E0,000E,15,48,0A,01,0A,09,1066533632,33,0378,2021-08-25 04:42:26,R,316232063
